suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,262144,32,2,512,0.35047039985656736,262144,1.0,1073741824,3063.716149607604,3063.716149607604,1.8814980108319486,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,262144,32,4,512,0.6241663932800293,262144,1.0,1073741824,1720.2813793889584,1720.2813793889584,3.3508331313147863,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,262144,32,8,512,1.1315903902053832,262144,1.0,1073741824,948.8785282147159,948.8785282147159,6.074935484193019,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,262144,32,16,512,2.196217584609985,262144,1.0,1073741824,488.9050299588964,488.9050299588964,11.790379497067253,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,262144,32,32,512,4.3408256530761715,262144,1.0,1073741824,247.35889202071075,247.35889202071075,23.30369364994482,16,16,32,0.5,,,
compute,uniform,gpu,uniform,262144,64,1,512,0.1910720020532608,262144,1.0,1073741824,5619.5665113756295,5619.5665113756295,1.0,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,64,2,512,0.37642239928245547,262144,1.0,1073741824,2852.491844392868,2852.491844392868,1.9700552421988478,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,64,4,512,0.6314495921134948,262144,1.0,1073741824,1700.4394925747436,1700.4394925747436,3.304772993049395,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,64,8,512,1.163379192352295,262144,1.0,1073741824,922.950858205524,922.950858205524,6.088695255456663,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,64,16,512,2.178214406967163,262144,1.0,1073741824,492.94588290554213,492.94588290554213,11.399966418732514,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,64,32,512,4.331923198699951,262144,1.0,1073741824,247.86723465509257,247.86723465509257,22.671679535196578,16,32,32,1.0,,,
compute,uniform,gpu,uniform,262144,128,1,512,0.18369919955730438,262144,1.0,1073741824,5845.108887722995,5845.108887722995,1.0,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,128,2,512,0.3336575984954834,262144,1.0,1073741824,3218.094923783176,3218.094923783176,1.8163258157877817,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,262144,128,4,512,0.6098239898681641,262144,1.0,1073741824,1760.7405445497952,1760.7405445497952,3.3196877903538793,8,32,32,1.0,,,
