suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,strided,strided,131072,131072,4194304,64,32,0.8732671976089478,524288,524288,0,1048576,1.2007504723308708,1.2007504723308708,495.0,0.24257585299613552,0.125,16,32,32,1.0,,,
memory,random_gather,random_gather,131072,131072,4194304,64,0,0.750764799118042,524288,524288,524288,1572864,2.09501564517638,2.09501564517638,495.0,0.4232354838740161,0.08333333333333333,16,32,32,1.0,,,
memory,coalesced,coalesced,131072,131072,4194304,128,1,0.0718528002500534,524288,524288,0,1048576,14.593390881787112,14.593390881787112,495.0,2.9481597740984062,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,1,0.07351680099964142,524288,524288,0,1048576,14.263079809540603,14.263079809540603,495.0,2.881430264553657,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,2,0.07385600060224533,524288,524288,0,1048576,14.197573541074222,14.197573541074222,495.0,2.8681966749644894,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,4,0.08083839863538742,524288,524288,0,1048576,12.971261401768794,12.971261401768794,495.0,2.620456848842181,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,8,0.4150976002216339,524288,524288,0,1048576,2.526095066413614,2.526095066413614,495.0,0.5103222356391139,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,16,0.7181823968887329,524288,524288,0,1048576,1.460041355152366,1.460041355152366,495.0,0.2949578495257305,0.125,8,32,32,1.0,,,
memory,strided,strided,131072,131072,4194304,128,32,0.6782592058181762,524288,524288,0,1048576,1.5459812281281387,1.5459812281281387,495.0,0.31231944002588663,0.125,8,32,32,1.0,,,
memory,random_gather,random_gather,131072,131072,4194304,128,0,0.7446079969406127,524288,524288,524288,1572864,2.11233831286054,2.11233831286054,495.0,0.426735012699099,0.08333333333333333,8,32,32,1.0,,,
